id,name,organization_type,description,location,latitude,longitude,website,phone,email,twitter,facebook,linkedin,instagram,logo_src,site_status,copyright_year,recent_dates,evidence,confidence,logo
489,Agua Hedionda Lagoon Foundation,Afterschool/Out-of-School Time,"Our mission is to inspire people through education and outreach to preserve the Agua Hedionda Lagoon as an accessible and healthy watershed. We are a 501C(3) non-profit formed in 1990 by passionate Carlsbad citizens who strive to promote the Agua Hedionda Lagoon in its global context. We are not affiliated with or obligated to any government, religious, or for-profit organization. Our initiatives, including our educational programs and events, are supported by ordinary citizens, grants, supporters and members; donations are tax deductible. The Agua Hedionda Lagoon Foundation operates the Discovery Center (DC). The DC is an extraordinary collection of hands-on exhibits, gardens, and live animal ambassadors allowing visitors to “taste nature.” We are open to the public, but we primarily serve families with school-aged children who care about the environment, the watershed, and the local community, and we are stroller friendly. These families come to Agua Hedionda Lagoon Foundation for active ways to involve their kids in fun, hands-on, educational experiences that give them a sense of accomplishment. By providing direct access to nature (in the form of gardens, wildlife, aqua culture, and water-based recreation), we uniquely offer fun, interactive experiences with diverse bodies that rely on the lagoon. We do this differently from others by offering learning experiences that focus on the hands-on doing (not just viewing) of how people and wildlife depend on active watershed management.","1580 Cannon Road, Carlsbad, California, 92008",33.1398566,-117.307518,https://www.aguahedionda.org/,7608041969,account@aguahedionda.org,https://twitter.com/AHlagoon,https://www.facebook.com/aguahediondalagoonfoundation/,https://twitter.com/AHlagoon,https://www.instagram.com/aguahedionda/,../../../sites/default/files/2021-07/New%20Logo%202021.jpg,active,2024,no,environmental foundation programs,high,agua_hedionda_lagoon_foundation.jpg
628,All Friends Nature School,District/School,"The mission of All Friends Nature School is to foster the development of the whole child – physical, cognitive, emotional and social – through use of a play, place, experiential and emergent curriculum. A natural environment offers the ideal setting wherein a child may grow and develop freely, with enthusiasm, confidence and excitement. By fostering the development of self-regulation, self-direction, and self-reflection, we provide children with the educational foundation that will support them for the rest of their lives. We value the relationship between parents, teachers and our community and work to build these relationships so we can nurture the growth of children during this important developmental time.","3208 Old Bridgeport way, San Diego, California, 92107",,,https://www.allfriendsnatureschool.com,6198710103,susan@alfriendsnatureschol.com,,,,https://www.instagram.com/allfriendsnatureschool/,,active,N/A,yes,"Active site with current programs, Forest Kindergarten, and homeschool offerings",high,
228,Alpine Education Foundation Inc.,Advocacy/Philanthropy & Government,"The Alpine Education Foundation (AEF) is an all-volunteer, non-profit organization consisting of parents, educators, and community leaders concerned with maintaining, enhancing, and improving the education of our children in our schools. Our Mission is “To generate funds that support educational opportunities for students of the Greater Alpine Area to better prepare today’s youth for the future; through programs supporting the use of technology in the classroom, innovative practices, enhancing staff, professional development, and supplementing teacher support to allow for small group and individualized approaches to student learning.” AEF raises funds through local events and fund raisers, through partnering and by grant writing. AEF conducts a competitive block grant program each year whereby classrooms can compete for funding special needs generally not supported under the state school funding guidelines. AEF operates its own educational programs including"": (One) Wheel of Experts (creation of elective S.T.E.A.M. pathways across the school district from kindergarten to middle school), with intent to expand this program to 1,100 grade school students across the 2018-2019 school year; (Two) ReadyBreak Camps (a summer program of enhanced instruction in multiple subjects designed for 200 students from PE/Sports, to Nutrition/Cooking, Art, Robotics, Dance/Choreography, and others); and (Three) the Living Classroom; a program conducted throughout the year in Environmental Education & Conservation Stewardship (in partnership with the Back Country Land Trust), and accommodating 1,000 students in the coming school year. Our goal is to enable Alpine Union School District sustaining its position as the Destination District of the San Diego East County.","2710 Alpine Blvd, Ste. K, PMB 101, Alpine, CA, 91901",32.8349618,-116.7553278,https://www.aef4kids.org,6196590345,BigGeorge8888@gmail.com,,https://www.facebook.com/AlpineEF/,,,../../../sites/default/files/2018-07/AEF_LOGO_FINAL%20jpg%20color%202015-10-29%20hi-def.jpg,active,2024,no,Local education foundation,high,alpine_education_foundation_inc.jpg
290,American Society of Naval Engineers,"Professional, Trade & Student Associations","ASNE was founded in 188 for three purposes of the Society are: •           to advance the knowledge and practice of naval engineering in public and private applications and operations •           to enhance the professionalism and well-being of members, and •           to promote naval engineering as a career field Today, ASNE members can be found leading engineering efforts to build and maintain the nation's ships. As part of these efforts, we have a fully funded STEM outreach program called FLEET. FLEET is an application of science and engineering standards needed for a variety of college and career pathways. ASNE’s curricula shows how educators can scaffold this experience to ensure each student gains the critical understandings required by FLEET. For example, groups of middle school students qualitatively discuss why a new ship iteration was faster than the last one using language based on forces and motion. Groups of high school students can analyze the technical information provided by the simulator and balance the forces more scientifically. If you have any questions about this free STEM video game/curricula, please email us ( fleet@navalengineers.org ).","1423 Powhatan Street, VA, 22314",38.8201304,-77.0480361,http://www.navalengineers.org,7038366727,fleet@navalengineers.org,https://twitter.com/navalengineers,https://www.facebook.com/navalengineers/,https://www.linkedin.com/company/american-society-of-naval-engineers,https://www.instagram.com/asne_navalengineers/,../../../sites/default/files/2019-08/ASNE%20Color%20High%20Res.jpg,active,none,yes,Real organization website with substantial content and professional design,high,american_society_of_naval.jpg
646,Anza-Borrego Foundation,Afterschool/Out-of-School Time,"Anza-Borrego Foundation (ABF) is the official nonprofit partner of Anza-Borrego Desert State Park. We provide financial support for Park programs, acquire land for conservation in and around the Park, educate the public about the Park’s resources and support research relevant to our region. Our small, dedicated staff — together with the board and volunteers — works hard to protect this desert we love. We also want others to treasure what Anza-Borrego Desert State Park has to offer, so we host education programs year-round for both youth and adults. Whether it’s a guided hike, an archaeology lecture or an environmental education program for socioeconomically disadvantaged students, we believe conservation of the Park is reached by cultivating an understanding for and appreciation of this land and its valuable resources. In addition to raising private funds to support Park programs and projects, ABF sells an extensive selection of guidebooks, clothing and other products in Anza-Borrego Desert State Park’s Visitor Center and State Park Store.","P.O. Box 2001, Borrego Springs, CA, 92004",,,http://www.TheABF.org,8189150336,Samantha@theABF.org,,https://www.facebook.com/AnzaBorregoFoundation,,https://www.instagram.com/anzaborrego/,../../../sites/default/files/2023-06/Anza%20Borrego%20Vertical%20Square.jpeg,active,N/A,yes,"Active site with recent event listing (April 11 event), active programming",high,anzaborrego_foundation.jpeg
47,AoPS (Art of Problem Solving) Academy,Afterschool/Out-of-School Time,"Hundreds of thousands of the world's strongest math students have trained with Art of Problem Solving's textbooks since 1993. Each year, over 15,000 students take classes in the AoPS Online School. Through AoPS Academy's after-school, weekend, and summer programs, we bring the depth and rigor of the AoPS curriculum to the classroom.","11455 El Camino Real Suite 150 , San Diego, California, 92130",32.9270604,-117.2369389,https://sandiego-cv.aopsacademy.org/,8583679600,,http://twitter.com/AoPSAcademy,https://www.facebook.com/Art-of-Problem-Solving-Academy-San-Diego-Carmel-Valley-1796593277247974,,,../../../sites/default/files/2018-05/White%20rectangle_0.png,active,2025,yes,"Redirected to SmartLab Learning (smartlablearning.com), original domain inactive [manually verified active]",high,aops_art_of_problem.png
631,Aquillius Corporation,Business & Industry,"Our mission is to accelerate the integration of life sciences and engineering to develop innovative products that can improve human health. Our team provides a strategy-driven, synchronized process that enables effective implementation and development of devices by reducing development risks and shortening the “time-to-market”.","10918 Technology Place, San Diego, California, 92127",,,https://www.aquillius.com/,8585337800,jihye.chun@aquillius.com,,https://www.linkedin.com/company/aquillius/,,,,active,2025,yes,"Copyright 2025 shown, active biotech incubator with membership programs and facilities",high,
245,Association for Women in Science San Diego Outreach,"Professional, Trade & Student Associations","AWIS National Organization - Advancing Equity: AWIS is a global network that inspires bold leadership, research, and solutions that advance women in STEM, spark innovation, promote organizational success and drive systemic change. AWIS San Diego Chapter: A non-profit 501c3 organization is committed to supporting the advancement of women in science and STEM-related careers by providing opportunities to participate in networking, mentoring and leadership activities. Outreach Committee Mission: -Inspire STEM experiences through the development and participation of community STEM events -Promote visibility of women as STEM professionals and role models -Motivate young women interested in STEM careers with science fair awards, STEM career conferences, and networking opportunities -Provide opportunities for leadership, networking and professional development",California,36.778261,-119.4179324,http://www.awissd.org,,outreach@awissd.org,http://twitter.com/AWISOutreachSD,https://www.facebook.com/AWISOutreachSD/,https://www.linkedin.com/company/awis-san-diego,https://instagram.com/awissandiego,../../../sites/default/files/2018-09/AWISSD-logo-2018-vector.png,active,2024,no,Local chapter of national organization,high,association_for_women_in.png
269,Barnes & Noble,Business & Industry,"Barnes & Noble Innovation focuses on literacy and educational initiatives throughout San Diego County!  We run large community STEM/STEAM events that include hands-on science experiments, robotics, coding, and literacy.  One of the main ways we promote literacy is by partnering with educators to curate book kits that meet curriculum and program standards (including NGSS) to use in classrooms and across school districts.  We also create Makerspaces for schools and help educators and students learn how to apply technology in the classroom.  We enjoy bringing bestselling authors to Barnes & Noble stores, schools, and throughout the community to talk about their creative work and passion for STEM/STEAM.  We are often able to provide donations and link programs to corporate sponsorships as well.  Barnes & Noble Innovation is a new and growing program that is excited about big ideas, connections, and making STEM/STEAM accessible to all!","10775 Westview Parkway, San Diego, California, 92126",32.9166044,-117.1193975,https://www.barnesandnoble.com,920-819-2716,mmeier@bn.com,https://twitter.com/BN_Innovation,https://www.facebook.com/BNInnovationSD,https://www.linkedin.com/in/mary-meier-994b96122,https://www.instagram.com/BN_Innovation,../../../sites/default/files/2019-03/2018_BN-LOGO-Gold.jpg,active,2024,no,Major bookstore chain,high,barnes_noble.jpg
220,Biocom Institute,Business & Industry,"Biocom Institute is a 501(c)(3) non-profit that supports life science innovation and success in our local and state-wide community by strengthening the workforce and leaders of tomorrow. For ten years, Biocom Institute has ensured the sustainability of this vital industry and inspired the STEM leaders of tomorrow by providing programs ranging from K-12 student and teacher STEM outreach, to innovative industry-vetted entrepreneurial and workforce development programs, to key veteran focused mentorship programs.","10996 Torreyana Rd, Suite 200, San Diego, CA, 92121",32.9043907,-117.2390431,https://www.biocominstitute.org,8584550300,lboysen@biocom.org,https://twitter.com/BiocomInstitute,https://www.facebook.com/BIOCOM.Institute/,https://www.linkedin.com/company/biocom-institute/,,../../../sites/default/files/2018-07/BI_logo_horizontal_0.jpg,active,2025,yes,Active institute founded 2008. References '2025 National Life Sciences Workforce Trends Report' and promotes current 'Life Science Career Expo Series' events and Fellowship programs.,high,biocom_institute.jpg
